Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Lucas Raymond,22,LW,60,22,41,63,-8,16,15,6,1,3,18,23,0,141,15.6,282,1138:13,18:58,0,3,0.0,26,28,21,63,
Alex DeBrincat,27,RW,60,29,24,53,-13,14,18,11,0,4,11,13,0,169,17.2,316,1060:25,17:40,23,24,48.9,24,22,22,49,
Dylan Larkin,28,C,60,24,29,53,-7,38,11,13,0,2,20,9,0,190,12.6,373,1199:46,19:60,660,529,55.5,18,32,31,68,
Patrick Kane,36,RW,50,15,23,38,-13,8,7,8,0,6,11,12,0,114,13.2,225,881:03,17:37,3,5,37.5,11,12,10,52,
Moritz Seider,23,D,60,5,31,36,-4,30,4,1,0,0,14,17,0,119,4.2,270,1515:58,25:16,0,0,,135,162,23,66,
J.T. Compher,29,LW,54,7,18,25,1,10,3,4,0,2,14,4,0,70,10.0,122,907:50,16:49,332,386,46.2,42,15,13,35,
Simon Edvinsson,21,D,56,7,17,24,10,36,7,0,0,3,16,0,1,57,12.3,155,1169:12,20:53,0,0,,102,56,16,71,
Vladimir Tarasenko,33,RW,58,8,16,24,-10,6,7,1,0,0,10,6,0,103,7.8,212,861:18,14:51,0,2,0.0,26,45,9,38,
Andrew Copp,30,C,56,10,13,23,4,8,9,0,1,2,12,1,0,68,14.7,119,823:20,14:42,318,309,50.7,35,9,18,37,
Marco Kasper,20,C,55,10,13,23,-9,20,8,2,0,1,11,2,0,92,10.9,163,818:27,14:53,170,190,47.2,29,106,8,33,
Jonatan Berggren,24,RW,58,9,9,18,-8,12,6,3,0,1,7,2,0,70,12.9,148,744:21,12:50,5,6,45.5,10,15,10,21,
Erik Gustafsson,32,D,52,2,15,17,-17,20,1,1,0,0,7,8,0,59,3.4,165,838:11,16:07,0,0,,37,23,7,66,
Michael Rasmussen,25,C,56,9,7,16,-5,15,7,2,0,0,6,1,0,76,11.8,132,744:19,13:17,68,71,48.9,38,96,8,29,
Joe Veleno,25,C,55,5,5,10,-13,13,5,0,0,0,5,0,0,50,10.0,103,655:27,11:55,132,142,48.2,32,87,10,35,
Ben Chiarot,33,D,59,3,6,9,-7,45,3,0,0,0,5,1,0,85,3.5,198,1262:11,21:24,0,0,,105,95,21,70,
Albert Johansson,24,D,39,1,6,7,-7,12,1,0,0,1,6,0,0,29,3.4,83,630:42,16:10,0,0,,61,42,9,36,
Christian Fischer,27,RW,44,1,6,7,-5,11,1,0,0,0,6,0,0,30,3.3,63,491:28,11:10,8,7,53.3,18,85,4,12,
Elmer SÃ¶derblom,23,RW,14,2,4,6,0,4,2,0,0,1,4,0,0,21,9.5,43,177:33,12:41,3,5,37.5,5,33,1,8,
Jeff Petry,37,D,34,1,5,6,-7,12,1,0,0,1,4,1,0,23,4.3,84,652:14,19:11,0,0,,56,39,10,40,
Justin Holl,33,D,52,1,4,5,-9,12,1,0,0,0,4,0,0,24,4.2,77,766:35,14:45,0,0,,53,26,5,54,
Tyler Motte,29,C,33,2,2,4,-12,2,2,0,0,0,2,0,0,39,5.1,89,381:10,11:33,12,12,50.0,23,43,14,14,
Dominik Shine,31,F,4,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,3,34:54,8:44,0,0,,2,8,2,2,
Cam Talbot,37,G,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1949:13,55:42,0,0,,0,0,0,6,
Austin Watson,33,LW,2,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,1,14:00,7:00,0,0,,0,6,0,1,
Olli MÃ¤Ã¤ttÃ¤,30,D,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,8,111:06,15:52,0,0,,7,3,1,8,
Alex Lyon,32,G,23,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,1181:58,51:23,0,0,,0,0,0,8,
William Lagesson,28,D,2,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,4,31:54,15:57,0,0,,2,1,0,5,
Ville Husso,29,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,438:49,48:45,0,0,,0,0,0,2,
Sebastian Cossa,22,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,45:00,45:00,0,0,,0,0,0,0,
